Date,USD (PM),pred
9/12/16,1324.6,0.0
9/13/16,1323.65,
9/14/16,1321.75,1317.8538818359375
9/15/16,1310.8,1316.4630126953125
9/16/16,1308.35,1319.3538818359375
9/19/16,1314.85,1318.0982666015625
9/20/16,1313.8,1309.61279296875
9/21/16,1326.1,1312.33642578125
9/22/16,1339.1,1319.568359375
9/23/16,1338.65,1321.2979736328125
9/26/16,1340.5,1330.2425537109375
9/27/16,1327.0,1337.3759765625
9/28/16,1322.5,1331.6729736328125
9/29/16,1318.1,1334.8057861328125
9/30/16,1322.5,1319.833251953125
10/3/16,1313.3,1307.655029296875
10/4/16,1283.3,1299.0947265625
10/5/16,1269.4,1297.71337890625
10/6/16,1254.5,1286.722412109375
10/7/16,1258.75,1264.3948974609375
10/10/16,1259.5,1260.93408203125
10/11/16,1253.45,1255.1885986328125
10/12/16,1256.5,1258.86279296875
10/13/16,1261.05,1259.19921875
10/14/16,1251.75,1254.545166015625
10/17/16,1254.8,1255.6644287109375
10/18/16,1258.2,1255.8792724609375
10/19/16,1269.05,1252.3106689453125
10/20/16,1271.65,1257.4271240234375
10/21/16,1266.05,1261.2576904296875
10/24/16,1265.55,1267.4664306640625
10/25/16,1269.4,1271.791748046875
10/26/16,1270.5,1266.2928466796875
10/27/16,1266.25,1265.2435302734375
10/28/16,1273.0,1267.8076171875
10/31/16,1272.0,1267.408935546875
11/1/16,1288.45,1269.7159423828125
11/2/16,1303.75,1279.790283203125
11/3/16,1301.0,1279.5211181640625
11/4/16,1302.8,1291.82470703125
11/7/16,1283.05,1301.391357421875
11/8/16,1282.35,1294.31787109375
11/9/16,1281.4,1292.12890625
11/10/16,1267.5,1262.5140380859375
11/11/16,1236.45,1254.87744140625
11/14/16,1213.6,1262.8409423828125
11/15/16,1226.95,1246.8887939453125
11/16/16,1229.2,1226.0125732421875
11/17/16,1226.75,1216.269775390625
11/18/16,1211.0,1225.721435546875
11/21/16,1214.25,1224.0611572265625
11/22/16,1212.25,1212.6788330078125
11/23/16,1185.35,1197.9329833984375
11/24/16,1186.1,1207.998046875
11/25/16,1187.7,1200.0916748046875
11/28/16,1187.0,1185.9144287109375
11/29/16,1186.55,1184.1221923828125
11/30/16,1178.1,1180.69970703125
12/1/16,1161.85,1182.2071533203125
12/2/16,1173.5,1179.396484375
12/5/16,1162.2,1175.137451171875
12/6/16,1172.5,1159.6546630859375
12/7/16,1177.65,1167.0936279296875
12/8/16,1171.05,1164.386962890625
12/9/16,1163.6,1170.335205078125
12/12/16,1156.1,1173.5228271484375
12/13/16,1158.55,1165.697509765625
12/14/16,1162.25,1150.796875
12/15/16,1126.95,1145.0445556640625
12/16/16,1131.6,1153.813232421875
12/19/16,1136.25,1149.59619140625
12/20/16,1125.7,1128.5284423828125
12/21/16,1133.65,1129.885986328125
12/22/16,1131.35,1137.141845703125
12/28/16,1134.6,1126.76904296875
12/29/16,1145.9,1136.9332275390625
1/3/17,1151.0,1136.3831787109375
1/4/17,1164.25,1147.1964111328125
1/5/17,1176.7,1158.4189453125
1/6/17,1175.85,1161.359130859375
1/9/17,1178.5,1173.825927734375
1/10/17,1189.5,1176.2718505859375
1/11/17,1178.55,1172.9730224609375
1/12/17,1205.05,1172.4229736328125
1/13/17,1190.35,1179.6241455078125
1/16/17,1203.0,1184.5556640625
1/17/17,1216.05,1194.7762451171875
1/18/17,1214.75,1191.93310546875
1/19/17,1196.05,1204.9969482421875
1/20/17,1200.55,1217.0201416015625
1/23/17,1212.85,1216.5748291015625
1/24/17,1216.8,1199.0577392578125
1/25/17,1195.0,1199.377685546875
1/26/17,1189.7,1208.0128173828125
1/27/17,1184.85,1209.4365234375
1/30/17,1192.8,1195.0068359375
1/31/17,1212.8,1183.63330078125
2/1/17,1203.65,1190.633544921875
2/2/17,1221.95,1200.5013427734375
2/3/17,1215.2,1205.5428466796875
2/6/17,1226.75,1209.1983642578125
2/7/17,1231.0,1223.659423828125
2/8/17,1242.1,1216.4810791015625
2/9/17,1236.8,1228.7783203125
2/10/17,1228.3,1230.844482421875
2/13/17,1222.25,1242.0357666015625
2/14/17,1230.75,1231.0185546875
2/15/17,1224.4,1225.2840576171875
2/16/17,1240.55,1223.7476806640625
2/17/17,1241.95,1228.4625244140625
2/20/17,1237.3,1225.1964111328125
2/21/17,1233.2,1238.6282958984375
2/22/17,1236.65,1244.7559814453125
2/23/17,1247.9,1236.0509033203125
2/24/17,1253.65,1237.5142822265625
2/27/17,1257.2,1243.7496337890625
2/28/17,1255.6,1248.337890625
3/1/17,1240.4,1248.9261474609375
3/2/17,1238.1,1248.3055419921875
3/3/17,1226.5,1248.1446533203125
3/6/17,1230.95,1230.1177978515625
3/7/17,1216.65,1229.1468505859375
3/8/17,1209.2,1218.0982666015625
3/9/17,1206.55,1221.9588623046875
3/10/17,1202.65,1207.6961669921875
3/13/17,1204.2,1205.4853515625
3/14/17,1204.6,1203.2435302734375
3/15/17,1198.8,1201.3319091796875
3/16/17,1229.35,1198.8126220703125
3/17/17,1229.6,1203.7698974609375
3/20/17,1232.4,1211.4149169921875
3/21/17,1241.6,1237.1082763671875
3/22/17,1249.05,1234.20947265625
3/23/17,1247.5,1238.78125
3/24/17,1247.5,1245.7684326171875
3/27/17,1257.55,1247.5003662109375
3/28/17,1257.25,1246.8140869140625
3/29/17,1251.1,1247.81591796875
3/30/17,1248.8,1256.6484375
3/31/17,1244.85,1253.76416015625
4/3/17,1247.25,1251.62255859375
4/4/17,1257.65,1250.5880126953125
4/5/17,1245.8,1241.15087890625
4/6/17,1252.5,1245.1297607421875
4/7/17,1266.45,1255.9658203125
4/10/17,1250.05,1246.8206787109375
4/11/17,1252.9,1244.4140625
4/12/17,1274.3,1254.7288818359375
4/13/17,1284.15,1247.3887939453125
4/18/17,1278.95,1262.90869140625
4/19/17,1279.05,1279.07373046875
4/20/17,1282.1,1279.3134765625
4/21/17,1281.85,1274.9920654296875
4/24/17,1269.4,1275.6353759765625
4/25/17,1267.8,1276.787109375
4/26/17,1261.85,1274.8834228515625
4/27/17,1262.8,1266.0941162109375
4/28/17,1266.45,1262.9031982421875
5/2/17,1255.45,1257.5460205078125
5/3/17,1250.3,1251.795654296875
5/4/17,1228.45,1252.2606201171875
5/5/17,1228.05,1242.873046875
5/8/17,1229.8,1237.46533203125
5/9/17,1220.4,1224.628662109375
5/10/17,1222.95,1226.8023681640625
5/11/17,1223.15,1232.2252197265625
5/12/17,1231.25,1220.08984375
5/15/17,1233.3,1226.0205078125
5/16/17,1234.2,1228.0440673828125
5/17/17,1257.4,1236.6343994140625
5/18/17,1255.9,1234.3621826171875
5/19/17,1252.0,1243.4671630859375
5/22/17,1258.85,1253.6275634765625
5/23/17,1260.2,1254.1737060546875
5/24/17,1252.55,1251.9169921875
5/25/17,1256.95,1258.03857421875
5/26/17,1265.05,1255.6639404296875
5/30/17,1262.7,1253.8624267578125
5/31/17,1266.2,1260.719482421875
6/1/17,1264.85,1263.0252685546875
6/2/17,1274.95,1263.772705078125
6/5/17,1279.95,1269.762939453125
6/6/17,1293.5,1271.2991943359375
6/7/17,1291.0,1275.3568115234375
6/8/17,1273.1,1277.8123779296875
6/9/17,1266.55,1288.68212890625
6/12/17,1266.4,1278.8101806640625
6/13/17,1262.0,1269.164306640625
6/14/17,1275.5,1263.371826171875
6/15/17,1254.55,1263.009033203125
6/16/17,1255.4,1260.971923828125
6/19/17,1248.15,1268.9638671875
6/20/17,1242.2,1246.37939453125
6/21/17,1242.5,1254.36474609375
6/22/17,1250.8,1248.633056640625
6/23/17,1255.7,1241.6607666015625
6/26/17,1245.25,1243.3284912109375
6/27/17,1249.55,1249.5894775390625
6/28/17,1248.0,1254.619384765625
6/29/17,1243.5,1244.450439453125
6/30/17,1242.25,1243.5594482421875
7/3/17,1229.25,1240.161865234375
7/4/17,1223.75,1233.9051513671875
7/5/17,1220.3,1235.14111328125
7/6/17,1224.9,1222.4405517578125
7/7/17,1215.65,1219.920166015625
7/10/17,1211.9,1217.3929443359375
7/11/17,1211.05,1224.7333984375
7/12/17,1218.8,1214.5882568359375
7/13/17,1218.9,1211.4713134765625
7/14/17,1230.3,1215.9525146484375
7/17/17,1234.1,1226.990234375
7/18/17,1240.75,1226.2984619140625
7/19/17,1242.15,1235.349365234375
7/20/17,1238.7,1236.9012451171875
7/21/17,1248.55,1240.012451171875
7/24/17,1255.55,1240.9129638671875
7/25/17,1254.4,1240.850830078125
7/26/17,1248.1,1245.8740234375
7/27/17,1261.1,1251.3934326171875
7/28/17,1264.9,1251.54150390625
7/31/17,1267.55,1254.6553955078125
8/1/17,1270.95,1265.9093017578125
8/2/17,1269.6,1266.8896484375
8/3/17,1268.1,1265.5362548828125
8/4/17,1257.7,1266.6971435546875
8/7/17,1258.0,1266.38134765625
8/8/17,1261.8,1270.31884765625
8/9/17,1271.05,1257.770263671875
8/10/17,1284.4,1264.435546875
8/11/17,1286.1,1268.728515625
8/14/17,1282.3,1273.720458984375
8/15/17,1270.3,1283.5277099609375
8/16/17,1272.75,1285.7109375
8/17/17,1285.15,1286.49560546875
8/18/17,1295.8,1271.3431396484375
8/21/17,1292.9,1277.398681640625
8/22/17,1284.2,1288.0206298828125
8/23/17,1286.65,1296.0458984375
8/24/17,1289.0,1289.2764892578125
8/25/17,1285.3,1284.9556884765625
8/29/17,1318.65,1280.8682861328125
8/30/17,1308.5,1280.2803955078125
8/31/17,1311.75,1295.9737548828125
9/1/17,1320.4,1309.8026123046875
9/4/17,1333.1,1310.114990234375
9/5/17,1335.55,1320.468994140625
9/6/17,1337.85,1331.547607421875
9/7/17,1343.5,1339.1636962890625
9/8/17,1346.25,1335.478759765625
9/11/17,1334.2,1335.1123046875
9/12/17,1326.5,1339.446044921875
9/13/17,1327.55,1338.650634765625
9/14/17,1324.55,1326.7362060546875
9/15/17,1322.85,1320.284912109375
9/18/17,1312.1,1320.6041259765625
9/19/17,1309.6,1319.43115234375
9/20/17,1311.3,1312.8492431640625
9/21/17,1292.1,1304.4078369140625
9/22/17,1294.8,1303.7615966796875
9/25/17,1293.3,1308.3995361328125
9/26/17,1300.05,1289.2864990234375
9/27/17,1282.55,1290.374267578125
9/28/17,1283.35,1291.3914794921875
9/29/17,1283.1,1293.94189453125
10/2/17,1273.7,1276.38427734375
10/3/17,1271.25,1280.1900634765625
10/4/17,1274.25,1279.692138671875
10/5/17,1274.5,1267.6297607421875
10/6/17,1261.8,1268.6546630859375
10/9/17,1278.75,1268.35009765625
10/10/17,1291.4,1268.1297607421875
10/11/17,1289.25,1266.17724609375
10/12/17,1290.25,1289.3551025390625
10/13/17,1299.6,1292.616455078125
10/16/17,1303.3,1288.765625
10/17/17,1284.75,1288.02294921875
10/18/17,1280.2,1297.57373046875
10/19/17,1286.4,1296.15771484375
10/20/17,1281.2,1279.2774658203125
10/23/17,1274.9,1279.3697509765625
10/24/17,1276.45,1284.602294921875
10/25/17,1275.0,1277.1348876953125
10/26/17,1273.75,1271.2674560546875
10/27/17,1266.45,1275.368896484375
10/30/17,1272.0,1272.995361328125
10/31/17,1270.15,1273.846923828125
11/1/17,1277.05,1267.571533203125
11/2/17,1279.2,1269.373779296875
11/3/17,1267.2,1270.65380859375
11/6/17,1270.9,1276.5841064453125
11/7/17,1275.6,1284.3736572265625
11/8/17,1284.0,1268.013671875
11/9/17,1284.8,1276.24755859375
11/10/17,1284.3,1278.3853759765625
11/13/17,1277.95,1283.550537109375
11/14/17,1274.6,1283.8951416015625
11/15/17,1282.2,1282.461669921875
11/16/17,1280.0,1276.3480224609375
11/17/17,1284.35,1277.1549072265625
11/20/17,1286.2,1281.0439453125
11/21/17,1283.3,1281.560546875
11/22/17,1286.95,1283.830078125
11/23/17,1290.35,1284.5335693359375
11/24/17,1290.5,1285.1041259765625
11/27/17,1294.9,1288.6441650390625
11/28/17,1291.85,1288.40869140625
11/29/17,1283.85,1287.8846435546875
11/30/17,1280.2,1289.7847900390625
12/1/17,1275.5,1284.3856201171875
12/4/17,1273.45,1276.61572265625
12/5/17,1266.3,1273.818115234375
12/6/17,1263.7,1267.4658203125
12/7/17,1255.0,1265.4876708984375
12/8/17,1250.65,1258.4017333984375
12/11/17,1247.15,1255.3297119140625
12/12/17,1240.9,1248.4937744140625
12/13/17,1242.65,1248.8165283203125
12/14/17,1251.0,1249.33984375
12/15/17,1254.6,1241.3646240234375
12/18/17,1260.6,1248.869140625
12/19/17,1260.35,1257.97412109375
12/20/17,1264.55,1259.1129150390625
12/21/17,1264.55,1263.8052978515625
12/27/17,1279.4,1265.437744140625
12/28/17,1291.0,1275.3736572265625
1/2/18,1312.05,1276.97314453125
1/3/18,1314.9,1296.8173828125
1/4/18,1314.5,1304.123779296875
1/5/18,1317.15,1315.05712890625
1/8/18,1319.95,1313.40869140625
1/9/18,1311.0,1312.2138671875
1/10/18,1319.75,1317.5333251953125
1/11/18,1323.05,1314.8883056640625
1/12/18,1326.8,1314.19189453125
1/15/18,1339.25,1323.0469970703125
1/16/18,1333.85,1325.5587158203125
1/17/18,1335.65,1328.167724609375
1/18/18,1332.2,1335.951416015625
1/19/18,1334.95,1333.9039306640625
1/22/18,1332.6,1335.81982421875
1/23/18,1333.4,1332.85888671875
1/24/18,1353.7,1333.7955322265625
1/25/18,1354.95,1332.9462890625
1/26/18,1353.15,1338.9378662109375
1/29/18,1343.85,1351.3143310546875
1/30/18,1344.9,1352.5018310546875
1/31/18,1345.05,1347.7427978515625
2/1/18,1341.35,1338.3536376953125
2/2/18,1331.15,1341.06982421875
2/5/18,1333.6,1340.908203125
2/6/18,1331.4,1335.4190673828125
2/7/18,1324.65,1324.1925048828125
2/8/18,1315.45,1327.7451171875
2/9/18,1314.1,1327.5103759765625
2/12/18,1322.3,1321.6097412109375
2/13/18,1325.35,1314.578857421875
2/14/18,1336.25,1320.62646484375
2/15/18,1352.45,1333.42138671875
2/16/18,1352.1,1331.6241455078125
2/19/18,1346.6,1340.67333984375
2/20/18,1339.85,1350.2650146484375
2/21/18,1330.5,1344.65234375
2/22/18,1328.35,1337.2418212890625
2/23/18,1327.95,1334.897216796875
2/26/18,1333.5,1329.02001953125
2/27/18,1325.75,1324.6102294921875
2/28/18,1317.85,1322.668701171875
3/1/18,1307.75,1330.621826171875
3/2/18,1322.3,1320.4791259765625
3/5/18,1320.4,1312.2862548828125
3/6/18,1331.4,1311.3216552734375
3/7/18,1329.4,1321.6693115234375
3/8/18,1321.0,1320.1201171875
3/9/18,1320.6,1331.54248046875
3/12/18,1319.15,1326.233642578125
3/13/18,1322.75,1320.549072265625
3/14/18,1323.55,1319.9771728515625
3/15/18,1318.75,1317.0789794921875
3/16/18,1310.1,1319.5235595703125
3/19/18,1312.4,1319.12451171875
3/20/18,1311.0,1318.021728515625
3/21/18,1321.35,1309.5643310546875
3/22/18,1329.15,1316.1622314453125
3/23/18,1346.6,1319.1417236328125
3/26/18,1352.4,1328.085205078125
3/27/18,1341.45,1332.587646484375
3/28/18,1332.45,1344.3466796875
3/29/18,1323.85,1348.58642578125
4/3/18,1333.45,1336.0484619140625
4/4/18,1337.3,1331.20263671875
4/5/18,1327.7,1323.7926025390625
4/6/18,1331.2,1332.0723876953125
4/9/18,1331.95,1341.0318603515625
4/10/18,1338.95,1327.869873046875
4/11/18,1350.75,1331.320068359375
4/12/18,1341.35,1332.7763671875
4/13/18,1343.7,1342.0078125
4/16/18,1349.35,1347.9847412109375
4/17/18,1342.1,1339.6142578125
4/18/18,1351.45,1341.7613525390625
4/19/18,1348.6,1347.0633544921875
4/20/18,1336.75,1336.7022705078125
4/23/18,1324.3,1346.601318359375
4/24/18,1328.85,1339.129638671875
4/25/18,1321.65,1329.25634765625
4/26/18,1320.7,1323.28076171875
4/27/18,1321.5,1325.850830078125
4/30/18,1313.2,1315.3974609375
5/1/18,1307.1,1314.3214111328125
5/2/18,1304.2,1320.3702392578125
5/3/18,1315.05,1309.9935302734375
5/4/18,1309.4,1306.0052490234375
5/8/18,1306.6,1302.5662841796875
5/9/18,1313.85,1308.1552734375
5/10/18,1318.8,1308.2332763671875
5/11/18,1324.35,1309.652099609375
5/14/18,1319.85,1309.8126220703125
5/15/18,1295.0,1310.206787109375
5/16/18,1291.25,1315.142822265625
5/17/18,1289.5,1304.04052734375
5/18/18,1288.3,1289.4228515625
5/21/18,1288.35,1290.4765625
5/22/18,1293.05,1289.9605712890625
5/23/18,1289.0,1284.6513671875
5/24/18,1304.85,1288.8099365234375
5/25/18,1303.5,1288.1319580078125
5/29/18,1295.5,1287.9296875
5/30/18,1300.7,1299.0347900390625
5/31/18,1305.35,1303.3917236328125
6/1/18,1294.6,1297.1533203125
6/4/18,1295.45,1299.493896484375
6/5/18,1292.05,1304.878662109375
6/6/18,1300.1,1294.0111083984375
6/7/18,1297.25,1293.885009765625
6/8/18,1298.25,1292.614990234375
6/11/18,1299.6,1297.8905029296875
6/12/18,1298.65,1297.088134765625
6/13/18,1296.15,1297.2442626953125
6/14/18,1302.75,1296.2978515625
6/15/18,1285.25,1292.8189697265625
6/18/18,1281.55,1290.185546875
6/19/18,1276.15,1293.1409912109375
6/20/18,1274.2,1274.5443115234375
6/21/18,1266.15,1276.7039794921875
6/22/18,1269.15,1272.514892578125
6/25/18,1268.7,1269.3916015625
6/26/18,1260.3,1261.337890625
6/27/18,1254.6,1264.191162109375
6/28/18,1251.55,1262.023193359375
6/29/18,1250.45,1253.1595458984375
7/2/18,1247.8,1252.4666748046875
7/3/18,1251.75,1252.343017578125
7/4/18,1255.65,1249.144775390625
7/5/18,1255.5,1249.47802734375
7/6/18,1255.35,1254.5379638671875
7/9/18,1262.05,1254.281982421875
7/10/18,1254.0,1253.7381591796875
7/11/18,1251.4,1253.6248779296875
7/12/18,1245.9,1257.328369140625
7/13/18,1241.7,1246.4910888671875
7/16/18,1241.1,1245.0487060546875
7/17/18,1232.8,1237.5972900390625
7/18/18,1224.5,1231.75146484375
7/19/18,1217.55,1237.3780517578125
7/20/18,1228.75,1226.7891845703125
7/23/18,1224.95,1222.7916259765625
7/24/18,1228.35,1220.59912109375
7/25/18,1231.5,1225.7525634765625
7/26/18,1228.25,1225.2119140625
7/27/18,1223.95,1227.8006591796875
7/30/18,1223.8,1228.8717041015625
7/31/18,1220.95,1223.616455078125
8/1/18,1219.0,1220.4200439453125
8/2/18,1215.45,1221.0264892578125
8/3/18,1216.3,1216.9403076171875
8/6/18,1209.65,1216.6600341796875
8/7/18,1212.35,1213.6810302734375
8/8/18,1209.55,1215.7581787109375
8/9/18,1214.35,1209.4595947265625
8/10/18,1214.4,1208.4088134765625
8/13/18,1200.35,1205.2030029296875
8/14/18,1197.0,1203.9449462890625
8/15/18,1182.0,1201.9244384765625
8/16/18,1180.4,1188.421142578125
8/17/18,1178.4,1191.277587890625
8/20/18,1184.35,1181.7357177734375
8/21/18,1190.95,1180.289794921875
8/22/18,1196.65,1181.8065185546875
8/23/18,1192.35,1190.4583740234375
8/24/18,1197.7,1195.4476318359375
8/28/18,1212.25,1190.884521484375
8/29/18,1204.2,1190.421875
8/30/18,1197.3,1199.3319091796875
8/31/18,1202.45,1212.600341796875
9/3/18,1200.05,1198.0565185546875
9/4/18,1190.85,1196.584228515625
9/5/18,1196.7,1204.4005126953125
9/6/18,1205.15,1200.1473388671875
9/7/18,1198.9,1190.663330078125
9/10/18,1196.6,1197.0224609375
9/11/18,1189.85,1205.1527099609375
9/12/18,1195.6,1201.10595703125
9/13/18,1209.8,1191.5330810546875
9/14/18,1201.95,1188.9525146484375
9/17/18,1201.9,1197.7142333984375
9/18/18,1200.2,1206.1468505859375
9/19/18,1203.3,1202.0205078125
9/20/18,1208.35,1200.642333984375
9/21/18,1198.7,1200.1314697265625
9/24/18,1202.75,1202.3011474609375
9/25/18,1201.9,1207.3924560546875
9/26/18,1194.25,1192.86767578125
9/27/18,1185.4,1197.8623046875
9/28/18,1187.25,1196.5904541015625
10/1/18,1189.35,1196.15478515625
10/2/18,1204.7,1184.9190673828125
10/3/18,1201.2,1190.2489013671875
10/4/18,1203.45,1194.0137939453125
10/5/18,1203.8,1204.02001953125
10/8/18,1186.95,1194.1307373046875
10/9/18,1185.55,1199.852294921875
10/10/18,1188.6,1203.5828857421875
10/11/18,1205.55,1185.5723876953125
10/12/18,1219.75,1195.1181640625
10/15/18,1229.95,1202.2119140625
10/16/18,1230.7,1219.569091796875
10/17/18,1229.05,1223.994384765625
10/18/18,1223.0,1229.23486328125
10/19/18,1227.85,1228.9189453125
10/22/18,1222.3,1226.9329833984375
10/23/18,1235.95,1221.65380859375
10/24/18,1230.55,1224.605224609375
10/25/18,1230.8,1223.895263671875
10/26/18,1233.85,1232.6751708984375
10/29/18,1230.8,1229.13623046875
10/30/18,1225.4,1226.204833984375
10/31/18,1214.95,1233.4857177734375
11/1/18,1231.15,1229.998046875
11/2/18,1232.1,1220.2783203125
11/5/18,1232.25,1218.7945556640625
11/6/18,1231.6,1230.692626953125
11/7/18,1229.95,1229.845458984375
11/8/18,1224.15,1225.8270263671875
11/9/18,1211.4,1223.3778076171875
11/12/18,1205.55,1220.5936279296875
11/13/18,1202.1,1214.5672607421875
11/14/18,1203.25,1207.8463134765625
11/15/18,1211.85,1205.7122802734375
11/16/18,1222.4,1204.456298828125
11/19/18,1221.6,1210.0430908203125
11/20/18,1223.0,1220.2691650390625
11/21/18,1226.1,1223.0677490234375
11/22/18,1227.05,1221.7381591796875
11/23/18,1223.65,1223.545166015625
11/26/18,1223.4,1225.4913330078125
11/27/18,1221.2,1222.313232421875
11/28/18,1213.25,1222.322998046875
11/29/18,1226.25,1224.2882080078125
11/30/18,1217.55,1215.9964599609375
12/3/18,1230.3,1215.6025390625
12/4/18,1240.3,1222.2464599609375
12/5/18,1235.9,1223.425048828125
12/6/18,1242.55,1237.6097412109375
12/7/18,1243.3,1237.7432861328125
12/10/18,1245.35,1238.341796875
12/11/18,1245.3,1244.3741455078125
12/12/18,1245.75,1243.71435546875
12/13/18,1242.75,1242.7001953125
12/14/18,1235.35,1244.0225830078125
12/17/18,1241.65,1245.5771484375
12/18/18,1246.3,1240.6029052734375
12/19/18,1255.0,1238.8662109375
12/20/18,1259.75,1248.695556640625
12/21/18,1258.15,1252.439208984375
12/27/18,1268.0,1262.580810546875
12/28/18,1279.0,1263.785400390625
1/2/19,1282.9,1266.2069091796875
1/3/19,1290.45,1274.1856689453125
1/4/19,1279.9,1279.8392333984375
1/7/19,1292.2,1279.8446044921875
1/8/19,1286.45,1289.050537109375
1/9/19,1288.6,1279.0672607421875
1/10/19,1291.9,1287.969482421875
1/11/19,1288.95,1285.75244140625
1/14/19,1292.75,1289.6431884765625
1/15/19,1294.4,1290.2003173828125
1/16/19,1292.3,1288.994384765625
1/17/19,1290.7,1291.13525390625
1/18/19,1284.2,1290.1051025390625
1/21/19,1279.55,1288.7137451171875
1/22/19,1282.1,1286.1298828125
1/23/19,1279.8,1282.5675048828125
1/24/19,1283.7,1279.0526123046875
1/25/19,1293.9,1283.304931640625
1/28/19,1302.15,1283.9046630859375
1/29/19,1307.55,1293.0465087890625
1/30/19,1310.7,1304.0452880859375
1/31/19,1323.25,1308.16943359375
2/1/19,1318.7,1308.3011474609375
2/4/19,1312.15,1311.9993896484375
2/5/19,1314.2,1323.7286376953125
2/6/19,1312.4,1314.859130859375
2/7/19,1310.0,1311.7239990234375
2/8/19,1314.85,1313.278564453125
2/11/19,1306.4,1312.199951171875
2/12/19,1310.0,1309.70556640625
2/13/19,1312.8,1315.5576171875
2/14/19,1311.45,1307.1805419921875
2/15/19,1316.55,1313.22119140625
2/18/19,1325.5,1315.65869140625
2/19/19,1334.15,1317.00439453125
2/20/19,1343.75,1320.9244384765625
2/21/19,1331.25,1328.1917724609375
2/22/19,1329.05,1334.0560302734375
2/25/19,1331.05,1341.4906005859375
2/26/19,1325.05,1326.589111328125
2/27/19,1322.85,1325.683837890625
2/28/19,1319.15,1325.882568359375
3/1/19,1311.95,1310.8707275390625
3/4/19,1285.4,1307.3448486328125
3/5/19,1283.8,1305.4354248046875
3/6/19,1285.85,1301.4906005859375
3/7/19,1285.3,1285.3070068359375
3/8/19,1296.75,1283.2734375
3/11/19,1292.75,1286.4505615234375
